	time	count
0	0.0010	2369
1	0.0011	0
2	0.0012	0
3	0.0013	0
4	0.0014	0
5	0.0015	0
6	0.0016	1313
7	0.0017	0
8	0.0018	0
9	0.0019	0
10	0.0020	0
11	0.0021	0
12	0.0022	0
13	0.0023	0
14	0.0024	0
15	0.0025	0
16	0.0026	0
17	0.0027	0
18	0.0028	0
19	0.0029	0
20	0.0030	0
21	0.0031	1047
22	0.0032	0
23	0.0033	0
24	0.0034	0
25	0.0035	0
26	0.0036	0
27	0.0037	0
28	0.0038	0
29	0.0039	0
30	0.0040	0
31	0.0041	0
32	0.0042	0
33	0.0043	0
34	0.0044	927
35	0.0045	0
36	0.0046	0
37	0.0047	0
38	0.0048	0
39	0.0049	0
40	0.0050	0
41	0.0051	0
42	0.0052	0
43	0.0053	0
44	0.0054	0
45	0.0055	0
46	0.0056	821
47	0.0057	0
48	0.0058	0
49	0.0059	0
50	0.0060	0
51	0.0061	0
52	0.0062	0
53	0.0063	0
54	0.0064	0
55	0.0065	0
56	0.0066	728
57	0.0067	0
58	0.0068	0
59	0.0069	0
60	0.0070	0
61	0.0071	0
62	0.0072	0
63	0.0073	0
64	0.0074	0
65	0.0075	0
66	0.0076	577
67	0.0077	0
68	0.0078	0
69	0.0079	0
70	0.0080	0
71	0.0081	0
72	0.0082	0
73	0.0083	514
74	0.0084	0
75	0.0085	0
76	0.0086	0
77	0.0087	0
78	0.0088	0
79	0.0089	0
80	0.0090	460
81	0.0091	0
82	0.0092	0
83	0.0093	0
84	0.0094	0
85	0.0095	0
86	0.0096	412
87	0.0097	0
88	0.0098	0
89	0.0099	0
90	0.0100	0
91	0.0101	0
92	0.0102	370
93	0.0103	0
94	0.0104	0
95	0.0105	0
96	0.0106	0
97	0.0107	333
98	0.0108	0
99	0.0109	0
100	0.0110	0
101	0.0111	274
102	0.0112	0
103	0.0113	0
104	0.0114	0
105	0.0115	249
106	0.0116	0
107	0.0117	0
108	0.0118	227
109	0.0119	0
110	0.0120	0
111	0.0121	209
112	0.0122	0
113	0.0123	0
114	0.0124	193
115	0.0125	0
116	0.0126	179
117	0.0127	0
118	0.0128	0
119	0.0129	166
120	0.0130	0
121	0.0131	155
122	0.0132	0
123	0.0133	0
124	0.0134	145
125	0.0135	0
126	0.0136	135
127	0.0137	0
128	0.0138	128
129	0.0139	0
130	0.0140	121
131	0.0141	115
